Code,Ranking,Name,Population
CHN,1,China,"1,392,730"
IND,2,India,"1,352,617"
USA,3,United States,"327,167"
IDN,4,Indonesia,"267,663"
PAK,5,Pakistan,"212,215"
BRA,6,Brazil,"209,469"
NGA,7,Nigeria,"195,875"
BGD,8,Bangladesh,"161,356"
RUS,9,Russian Federation,"144,478"
JPN,10,Japan,"126,529"
MEX,11,Mexico,"126,191"
ETH,12,Ethiopia,"109,225"
PHL,13,Philippines,"106,652"
EGY,14,"Egypt, Arab Rep.","98,424"
VNM,15,Vietnam,"95,540"
COD,16,"Congo, Dem. Rep.","84,068"
DEU,17,Germany,"82,928"
TUR,18,Turkey,"82,320"
IRN,19,"Iran, Islamic Rep.","81,800"
THA,20,Thailand,"69,429"
FRA,21,France,"66,987"
GBR,22,United Kingdom,"66,489"
ITA,23,Italy,"60,431"
ZAF,24,South Africa,"57,780"
TZA,25,Tanzania,"56,318"
MMR,26,Myanmar,"53,708"
KOR,27,"Korea, Rep.","51,635"
KEN,28,Kenya,"51,393"
COL,29,Colombia,"49,649"
ESP,30,Spain,"46,724"
UKR,31,Ukraine,"44,623"
ARG,32,Argentina,"44,495"
UGA,33,Uganda,"42,723"
DZA,34,Algeria,"42,228"
SDN,35,Sudan,"41,802"
IRQ,36,Iraq,"38,434"
POL,37,Poland,"37,979"
AFG,38,Afghanistan,"37,172"
CAN,39,Canada,"37,059"
MAR,40,Morocco,"36,029"
SAU,41,Saudi Arabia,"33,700"
UZB,42,Uzbekistan,"32,955"
PER,43,Peru,"31,989"
MYS,44,Malaysia,"31,529"
AGO,45,Angola,"30,810"
GHA,46,Ghana,"29,767"
MOZ,47,Mozambique,"29,496"
VEN,48,"Venezuela, RB","28,870"
YEM,49,"Yemen, Rep.","28,499"
NPL,50,Nepal,"28,088"
MDG,51,Madagascar,"26,262"
PRK,52,"Korea, Dem. People's Rep.","25,550"
CMR,53,Cameroon,"25,216"
CIV,54,Côte d'Ivoire,"25,069"
AUS,55,Australia,"24,992"
NER,56,Niger,"22,443"
LKA,57,Sri Lanka,"21,670"
BFA,58,Burkina Faso,"19,752"
ROU,59,Romania,"19,474"
MLI,60,Mali,"19,078"
CHL,61,Chile,"18,729"
KAZ,62,Kazakhstan,"18,276"
MWI,63,Malawi,"18,143"
ZMB,64,Zambia,"17,352"
GTM,65,Guatemala,"17,248"
NLD,66,Netherlands,"17,231"
ECU,67,Ecuador,"17,084"
SYR,68,Syrian Arab Republic,"16,906"
KHM,69,Cambodia,"16,250"
SEN,70,Senegal,"15,854"
TCD,71,Chad,"15,478"
SOM,72,Somalia,"15,008"
ZWE,73,Zimbabwe,"14,439"
GIN,74,Guinea,"12,414"
RWA,75,Rwanda,"12,302"
TUN,76,Tunisia,"11,565"
BEN,77,Benin,"11,485"
BEL,78,Belgium,"11,422"
BOL,79,Bolivia,"11,353"
CUB,80,Cuba,"11,338"
BDI,81,Burundi,"11,175"
HTI,82,Haiti,"11,123"
SSD,83,South Sudan,"10,976"
GRC,84,Greece,"10,728"
DOM,85,Dominican Republic,"10,627"
CZE,86,Czech Republic,"10,626"
PRT,87,Portugal,"10,282"
SWE,88,Sweden,"10,183"
JOR,89,Jordan,"9,956"
AZE,90,Azerbaijan,"9,942"
HUN,91,Hungary,"9,769"
ARE,92,United Arab Emirates,"9,631"
HND,93,Honduras,"9,588"
BLR,94,Belarus,"9,485"
TJK,95,Tajikistan,"9,101"
ISR,96,Israel,"8,884"
AUT,97,Austria,"8,847"
